output/Lista_input_rand_200000_10.csv
tempoInsert, qtdBuscas, tempoBusca
0.036463,10,0.003861
0.026706,10,0.002028
0.024053,10,0.002020
0.023978,10,0.002050
0.023957,10,0.002018
0.024306,10,0.002019
0.023996,10,0.002020
0.023973,10,0.002032
0.024007,10,0.002051
0.024875,10,0.002136
0.024001,10,0.002013
0.024042,10,0.002066
0.032818,10,0.002023
0.023967,10,0.002011
0.032298,10,0.002041
0.024024,10,0.002017
0.024215,10,0.002027
0.032897,10,0.001997
0.024029,10,0.002033
0.024085,10,0.002081
0.046165,10,0.002098
0.024040,10,0.002038
0.024076,10,0.001998
0.023993,10,0.002034
0.024072,10,0.001995
0.024075,10,0.002016
0.023971,10,0.002014
0.055371,10,0.002086
0.024129,10,0.002043
0.024051,10,0.002007
