output/Lista_input_seq_100_10.csv
tempoInsert, qtdBuscas, tempoBusca
0.000048,10,0.000011
0.000029,10,0.000008
0.000029,10,0.000007
0.000022,10,0.000006
0.000018,10,0.000005
0.000017,10,0.000004
0.000019,10,0.000004
0.000012,10,0.000003
0.000013,10,0.000004
0.000044,10,0.000012
0.000043,10,0.000011
0.000044,10,0.000011
0.000044,10,0.000011
0.000043,10,0.000011
0.000044,10,0.000011
0.000044,10,0.000011
0.000029,10,0.000007
0.000022,10,0.000006
0.000022,10,0.000005
0.000017,10,0.000004
0.000017,10,0.000004
0.000018,10,0.000004
0.000018,10,0.000005
0.000018,10,0.000004
0.000017,10,0.000004
0.000044,10,0.000011
0.000043,10,0.000011
0.000044,10,0.000011
0.000044,10,0.000011
0.000044,10,0.000011
