output/Lista_input_rand_400000_10.csv
tempoInsert, qtdBuscas, tempoBusca
0.086315,10,0.005007
0.048159,10,0.005215
0.048096,10,0.005033
0.048205,10,0.005050
0.047999,10,0.005042
0.048076,10,0.005015
0.048153,10,0.005025
0.048402,10,0.005039
0.048052,10,0.004998
0.048099,10,0.004998
0.047993,10,0.005035
0.048054,10,0.005022
0.048049,10,0.005040
0.048107,10,0.005020
0.048108,10,0.005031
0.048087,10,0.005011
0.047882,10,0.005011
0.047994,10,0.005024
0.050896,10,0.005024
0.058961,10,0.005034
0.048039,10,0.005003
0.047990,10,0.005033
0.048072,10,0.005081
0.048058,10,0.005099
0.048145,10,0.005012
0.047957,10,0.005015
0.048173,10,0.005006
0.048273,10,0.004987
0.048058,10,0.005010
0.048318,10,0.005008
