output/Lista_input_seq_300000_100.csv
tempoInsert, qtdBuscas, tempoBusca
0.030423,100,0.045800
0.030469,100,0.045840
0.030428,100,0.045933
0.030393,100,0.045748
0.030404,100,0.045828
0.030423,100,0.045777
0.031315,100,0.045894
0.030373,100,0.045669
0.030437,100,0.046700
0.030480,100,0.045657
0.030361,100,0.045852
0.030513,100,0.046339
0.030455,100,0.046383
0.030394,100,0.046106
0.030414,100,0.046071
0.030447,100,0.045751
0.030401,100,0.045927
0.030651,100,0.046085
0.030357,100,0.046128
0.030365,100,0.045927
0.030422,100,0.045826
0.030359,100,0.046024
0.030410,100,0.045908
0.030361,100,0.046051
0.030451,100,0.046286
0.030408,100,0.046132
0.030366,100,0.045805
0.030402,100,0.046115
0.030395,100,0.045858
0.030434,100,0.045946
