output/Lista_input_seq_10000_10.csv
tempoInsert, qtdBuscas, tempoBusca
0.004351,10,0.000627
0.004419,10,0.000637
0.004372,10,0.000622
0.004334,10,0.000631
0.004374,10,0.000633
0.004331,10,0.000671
0.004331,10,0.000654
0.004366,10,0.000618
0.004333,10,0.000625
0.004340,10,0.000650
0.004609,10,0.000672
0.004348,10,0.000635
0.004343,10,0.000628
0.004342,10,0.000632
0.004458,10,0.000621
0.004339,10,0.000639
0.004515,10,0.000627
0.004514,10,0.000465
0.002164,10,0.000310
0.002166,10,0.000316
0.004375,10,0.000639
0.004322,10,0.000626
0.004354,10,0.000627
0.004342,10,0.000652
0.004339,10,0.000630
0.004383,10,0.000627
0.004322,10,0.000664
0.004336,10,0.000638
0.004328,10,0.000634
0.004364,10,0.000624
