output/Lista_input_rand_900000_100.csv
tempoInsert, qtdBuscas, tempoBusca
0.113284,100,0.109360
0.108401,100,0.108675
0.108557,100,0.108052
0.108877,100,0.107782
0.118044,100,0.107908
0.108424,100,0.107705
0.108443,100,0.107646
0.108416,100,0.107882
0.108689,100,0.109481
0.108302,100,0.107867
0.108936,100,0.107844
0.108323,100,0.108319
0.108432,100,0.107626
0.108537,100,0.108134
0.111072,100,0.108021
0.108334,100,0.107749
0.108367,100,0.108770
0.109004,100,0.109625
0.108315,100,0.108498
0.108886,100,0.108004
0.108433,100,0.109276
0.108525,100,0.113779
0.108712,100,0.108345
0.108730,100,0.109621
0.108922,100,0.108328
0.108527,100,0.108264
0.108742,100,0.113780
0.108895,100,0.108081
0.108486,100,0.107946
0.108776,100,0.108050
