output/Lista_input_rand_300000_10.csv
tempoInsert, qtdBuscas, tempoBusca
0.072792,10,0.003340
0.036172,10,0.003356
0.036087,10,0.003381
0.036186,10,0.003407
0.059344,10,0.003365
0.036126,10,0.003368
0.036019,10,0.003347
0.036031,10,0.003372
0.036074,10,0.003354
0.036058,10,0.003375
0.036003,10,0.003344
0.035991,10,0.003356
0.036068,10,0.003398
0.035989,10,0.003339
0.036122,10,0.003375
0.036033,10,0.003359
0.036017,10,0.003408
0.036033,10,0.003328
0.035989,10,0.003349
0.036303,10,0.003359
0.035993,10,0.003372
0.061967,10,0.003367
0.036016,10,0.003318
0.035985,10,0.003353
0.036002,10,0.003335
0.036628,10,0.003344
0.035962,10,0.003336
0.036055,10,0.003372
0.036064,10,0.003357
0.036086,10,0.003311
