output/Lista_input_rand_300000_1000.csv
tempoInsert, qtdBuscas, tempoBusca
0.036333,1000,0.384775
0.036124,1000,0.388087
0.036206,1000,0.384651
0.036266,1000,0.385403
0.036128,1000,0.387364
0.036193,1000,0.383121
0.041685,1000,0.384548
0.036279,1000,0.384027
0.036194,1000,0.382697
0.036136,1000,0.384218
0.036120,1000,0.383836
0.036128,1000,0.384177
0.036244,1000,0.384922
0.036157,1000,0.387370
0.036107,1000,0.383064
0.036081,1000,0.386388
0.036146,1000,0.384864
0.036275,1000,0.384477
0.045837,1000,0.385669
0.036138,1000,0.384865
0.036287,1000,0.386400
0.036501,1000,0.385026
0.036246,1000,0.382545
0.036157,1000,0.385293
0.036169,1000,0.386363
0.036120,1000,0.384533
0.036229,1000,0.385794
0.036118,1000,0.384429
0.036214,1000,0.385445
0.038669,1000,0.383958
