output/Lista_input_seq_400000_100.csv
tempoInsert, qtdBuscas, tempoBusca
0.040731,100,0.061280
0.040732,100,0.061315
0.040695,100,0.061380
0.040736,100,0.060928
0.040765,100,0.061363
0.040867,100,0.061171
0.040645,100,0.061119
0.040635,100,0.061371
0.040822,100,0.060934
0.040648,100,0.060954
0.050373,100,0.061100
0.040644,100,0.061220
0.040859,100,0.060770
0.040755,100,0.061115
0.040655,100,0.061075
0.040692,100,0.060984
0.040859,100,0.061013
0.040741,100,0.060992
0.040630,100,0.060949
0.040658,100,0.061740
0.040681,100,0.060943
0.040934,100,0.061059
0.040650,100,0.061024
0.040631,100,0.061197
0.040878,100,0.061288
0.040765,100,0.061066
0.040668,100,0.061425
0.040762,100,0.061789
0.040738,100,0.061642
0.040724,100,0.064801
