output/Lista_input_rand_500000_10.csv
tempoInsert, qtdBuscas, tempoBusca
0.073792,10,0.006866
0.060047,10,0.006815
0.060081,10,0.006893
0.060074,10,0.006809
0.060053,10,0.006807
0.060404,10,0.006844
0.060158,10,0.006877
0.060028,10,0.006828
0.060054,10,0.006851
0.060034,10,0.006842
0.060104,10,0.006860
0.060196,10,0.006852
0.070047,10,0.006828
0.060131,10,0.006847
0.060023,10,0.006856
0.070042,10,0.006824
0.060030,10,0.006850
0.062798,10,0.006844
0.060173,10,0.006929
0.060269,10,0.006857
0.060031,10,0.006832
0.059972,10,0.006870
0.060179,10,0.006817
0.060109,10,0.006912
0.060110,10,0.006865
0.060032,10,0.006890
0.060260,10,0.006833
0.060053,10,0.006880
0.060279,10,0.006816
0.060382,10,0.006889
