output/Lista_input_seq_10000_1000.csv
tempoInsert, qtdBuscas, tempoBusca
0.004347,1000,0.040642
0.004407,1000,0.044646
0.001320,1000,0.015210
0.000938,1000,0.013458
0.000932,1000,0.013378
0.000929,1000,0.013456
0.000935,1000,0.013331
0.000934,1000,0.013411
0.000933,1000,0.013412
0.000934,1000,0.013343
0.000933,1000,0.013408
0.000948,1000,0.013290
0.000930,1000,0.013371
0.000931,1000,0.013376
0.000935,1000,0.013328
0.000930,1000,0.013317
0.000943,1000,0.013400
0.000931,1000,0.013378
0.000937,1000,0.013344
0.002560,1000,0.014483
0.000932,1000,0.013468
0.000932,1000,0.013276
0.000933,1000,0.013429
0.000931,1000,0.013415
0.000941,1000,0.013305
0.000933,1000,0.013417
0.002160,1000,0.019681
0.000955,1000,0.013389
0.000935,1000,0.013300
0.000929,1000,0.013329
