output/Lista_input_rand_700000_100.csv
tempoInsert, qtdBuscas, tempoBusca
0.090999,100,0.090403
0.084448,100,0.092186
0.084527,100,0.094653
0.084264,100,0.090956
0.087207,100,0.091650
0.084448,100,0.090897
0.084810,100,0.090758
0.084468,100,0.090522
0.084293,100,0.090511
0.085120,100,0.098433
0.121872,100,0.090315
0.084326,100,0.090345
0.084451,100,0.090199
0.084154,100,0.090237
0.084494,100,0.089896
0.084467,100,0.089918
0.084315,100,0.090139
0.084412,100,0.090042
0.084427,100,0.090219
0.084351,100,0.089830
0.084256,100,0.089992
0.084422,100,0.090112
0.084496,100,0.089849
0.084389,100,0.090416
0.084439,100,0.090687
0.084351,100,0.089712
0.084444,100,0.094834
0.084461,100,0.090125
0.084358,100,0.090861
0.084321,100,0.091013
