output/Lista_input_rand_700000_10.csv
tempoInsert, qtdBuscas, tempoBusca
0.116968,10,0.009279
0.084245,10,0.009280
0.084074,10,0.009306
0.084181,10,0.009304
0.084384,10,0.009285
0.084230,10,0.009303
0.084112,10,0.009325
0.085770,10,0.009307
0.084205,10,0.009249
0.084111,10,0.009262
0.084044,10,0.009316
0.084212,10,0.009263
0.084156,10,0.009318
0.084697,10,0.009337
0.084082,10,0.009269
0.084431,10,0.009296
0.084026,10,0.009236
0.084160,10,0.009261
0.084035,10,0.009311
0.084403,10,0.009343
0.084532,10,0.009226
0.084536,10,0.009302
0.084302,10,0.009302
0.084164,10,0.009284
0.084122,10,0.009326
0.084034,10,0.009310
0.084050,10,0.009235
0.084172,10,0.009295
0.102345,10,0.009283
0.084183,10,0.009295
