output/Lista_input_rand_1000_100.csv
tempoInsert, qtdBuscas, tempoBusca
0.000207,100,0.000250
0.000206,100,0.000223
0.000239,100,0.000258
0.000603,100,0.000617
0.001245,100,0.000615
0.001132,100,0.000615
0.000625,100,0.000620
0.000567,100,0.000619
0.000594,100,0.000616
0.000570,100,0.000617
0.000570,100,0.000618
0.000607,100,0.000737
0.000791,100,0.000707
0.000611,100,0.000649
0.000568,100,0.000658
0.000570,100,0.000616
0.000567,100,0.000639
0.000572,100,0.000616
0.000563,100,0.000660
0.000592,100,0.000612
0.000567,100,0.000615
0.000567,100,0.000674
0.000570,100,0.000619
0.000570,100,0.000614
0.000589,100,0.000617
0.000565,100,0.000615
0.000563,100,0.000641
0.000570,100,0.000636
0.000573,100,0.000620
0.000560,100,0.000621
