output/Lista_input_seq_500000_1000.csv
tempoInsert, qtdBuscas, tempoBusca
0.051049,1000,0.744743
0.051073,1000,0.737995
0.051118,1000,0.737210
0.050997,1000,0.740858
0.051116,1000,0.742064
0.051026,1000,0.738362
0.051077,1000,0.741472
0.051026,1000,0.741175
0.051044,1000,0.737538
0.050967,1000,0.738146
0.051032,1000,0.739561
0.051410,1000,0.737260
0.050986,1000,0.738275
0.051407,1000,0.740930
0.051031,1000,0.739402
0.050996,1000,0.744910
0.051004,1000,0.740129
0.050957,1000,0.740992
0.051089,1000,0.740410
0.050975,1000,0.737016
0.050975,1000,0.741304
0.051009,1000,0.738213
0.050976,1000,0.737179
0.050982,1000,0.738785
0.051055,1000,0.744146
0.051578,1000,0.736532
0.051018,1000,0.739700
0.051072,1000,0.740971
0.051018,1000,0.738860
0.051112,1000,0.740953
