output/Lista_input_seq_3000000_100.csv
tempoInsert, qtdBuscas, tempoBusca
0.318746,100,0.417206
0.315187,100,0.415553
0.316578,100,0.417389
0.315676,100,0.415967
0.350215,100,0.417742
0.316456,100,0.418176
0.314678,100,0.420332
0.315400,100,0.416575
0.316578,100,0.417380
0.316780,100,0.415890
0.315442,100,0.416031
0.316216,100,0.417617
0.315710,100,0.416902
0.315502,100,0.417538
0.315403,100,0.415396
0.315613,100,0.417885
0.316291,100,0.416354
0.315499,100,0.419381
0.315203,100,0.415923
0.315171,100,0.415407
0.315479,100,0.415356
0.319089,100,0.417388
0.315605,100,0.417317
0.314872,100,0.418076
0.315322,100,0.417863
0.315640,100,0.417344
0.317327,100,0.416501
0.315976,100,0.416311
0.316368,100,0.417276
0.316326,100,0.417795
