output/AVL_input_seq_300000_10.csv
tempoInsert, qtdBuscas, tempoBusca
0.130666,10,0.000010
0.130453,10,0.000007
0.131730,10,0.000008
0.132103,10,0.000009
0.131476,10,0.000009
0.131769,10,0.000011
0.131994,10,0.000008
0.131462,10,0.000009
0.139898,10,0.000008
0.131499,10,0.000007
0.130093,10,0.000010
0.134283,10,0.000008
0.137845,10,0.000009
0.130683,10,0.000009
0.133145,10,0.000008
0.132077,10,0.000007
0.130995,10,0.000008
0.131288,10,0.000011
0.132115,10,0.000007
0.132249,10,0.000010
0.131240,10,0.000008
0.130774,10,0.000009
0.132503,10,0.000008
0.131003,10,0.000008
0.131765,10,0.000009
0.130192,10,0.000009
0.132277,10,0.000010
0.129934,10,0.000008
0.129739,10,0.000008
0.133369,10,0.000010
