output/AVL_input_seq_100_1000.csv
tempoInsert, qtdBuscas, tempoBusca
0.000025,1000,0.000068
0.000098,1000,0.000252
0.000021,1000,0.000054
0.000028,1000,0.000076
0.000036,1000,0.000095
0.000049,1000,0.000127
0.000078,1000,0.000201
0.000098,1000,0.000257
0.000097,1000,0.000254
0.000098,1000,0.000256
0.000096,1000,0.000291
0.000096,1000,0.000265
0.000097,1000,0.000257
0.000097,1000,0.000280
0.000097,1000,0.000268
0.000096,1000,0.000256
0.000096,1000,0.000252
0.000098,1000,0.000249
0.000096,1000,0.000247
0.000098,1000,0.000278
0.000096,1000,0.000252
0.000098,1000,0.000253
0.000097,1000,0.000256
0.000097,1000,0.000265
0.000097,1000,0.000252
0.000097,1000,0.000251
0.000098,1000,0.000251
0.000097,1000,0.000255
0.000097,1000,0.000257
0.000097,1000,0.000264
