output/AVL_input_seq_900000_100.csv
tempoInsert, qtdBuscas, tempoBusca
0.436387,100,0.000094
0.440323,100,0.000093
0.435341,100,0.000095
0.429773,100,0.000094
0.434929,100,0.000090
0.431172,100,0.000089
0.432608,100,0.000093
0.424366,100,0.000089
0.433578,100,0.000095
0.429367,100,0.000093
0.428665,100,0.000099
0.426537,100,0.000095
0.433647,100,0.000095
0.426108,100,0.000098
0.434480,100,0.000090
0.431274,100,0.000090
0.439516,100,0.000090
0.436543,100,0.000095
0.427340,100,0.000089
0.432121,100,0.000094
0.424999,100,0.000092
0.433761,100,0.000098
0.435692,100,0.000092
0.430237,100,0.000095
0.436494,100,0.000099
0.425011,100,0.000092
0.432432,100,0.000094
0.431314,100,0.000090
0.431148,100,0.000091
0.442360,100,0.000094
