output/AVL_input_rand_200000_100.csv
tempoInsert, qtdBuscas, tempoBusca
0.125784,100,0.000030
0.123130,100,0.000027
0.123496,100,0.000029
0.123198,100,0.000030
0.122555,100,0.000029
0.122751,100,0.000029
0.122661,100,0.000028
0.123153,100,0.000029
0.123265,100,0.000028
0.124118,100,0.000029
0.122985,100,0.000032
0.123717,100,0.000031
0.122715,100,0.000027
0.130490,100,0.000028
0.122884,100,0.000028
0.123294,100,0.000031
0.122693,100,0.000028
0.125595,100,0.000028
0.123133,100,0.000029
0.123198,100,0.000027
0.123222,100,0.000028
0.122492,100,0.000028
0.122885,100,0.000029
0.123731,100,0.000028
0.123369,100,0.000029
0.125680,100,0.000029
0.125920,100,0.000029
0.128565,100,0.000027
0.122872,100,0.000027
0.126395,100,0.000029
