output/AVL_input_rand_2000000_1000.csv
tempoInsert, qtdBuscas, tempoBusca
2.183504,1000,0.000625
2.187806,1000,0.000625
2.195114,1000,0.000636
2.186360,1000,0.000631
2.185506,1000,0.000632
2.193315,1000,0.000628
2.196303,1000,0.000635
2.186091,1000,0.000630
2.183925,1000,0.000631
2.177235,1000,0.000622
2.176306,1000,0.000625
2.190328,1000,0.000633
2.187161,1000,0.000637
2.181290,1000,0.000636
2.177676,1000,0.000628
2.181284,1000,0.000633
2.181757,1000,0.000637
2.180040,1000,0.000628
2.186934,1000,0.000632
2.188154,1000,0.000631
2.196253,1000,0.000635
2.186593,1000,0.000640
2.175093,1000,0.000625
2.188398,1000,0.000627
2.184276,1000,0.000634
2.189979,1000,0.000639
2.198318,1000,0.000639
2.192049,1000,0.000640
2.181903,1000,0.000629
2.179757,1000,0.000635
