output/AVL_input_rand_200000_10.csv
tempoInsert, qtdBuscas, tempoBusca
0.130011,10,0.000003
0.123105,10,0.000004
0.125774,10,0.000004
0.123191,10,0.000004
0.123309,10,0.000004
0.123558,10,0.000004
0.122949,10,0.000004
0.122752,10,0.000004
0.122691,10,0.000004
0.122807,10,0.000003
0.131858,10,0.000004
0.123631,10,0.000004
0.123615,10,0.000004
0.122737,10,0.000004
0.130115,10,0.000004
0.123141,10,0.000003
0.123829,10,0.000004
0.122838,10,0.000004
0.122759,10,0.000004
0.122538,10,0.000003
0.123289,10,0.000004
0.123343,10,0.000003
0.142083,10,0.000004
0.123603,10,0.000004
0.122873,10,0.000004
0.122651,10,0.000004
0.123105,10,0.000003
0.123160,10,0.000004
0.123449,10,0.000004
0.122603,10,0.000003
