output/AVL_input_rand_1000_100.csv
tempoInsert, qtdBuscas, tempoBusca
0.001648,100,0.000044
0.001664,100,0.000044
0.001672,100,0.000046
0.001670,100,0.000044
0.001653,100,0.000043
0.001642,100,0.000042
0.001639,100,0.000043
0.001704,100,0.000043
0.001649,100,0.000045
0.001653,100,0.000044
0.001669,100,0.000045
0.001659,100,0.000044
0.001657,100,0.000044
0.001633,100,0.000044
0.001653,100,0.000045
0.001650,100,0.000043
0.001657,100,0.000045
0.001642,100,0.000044
0.001672,100,0.000044
0.001671,100,0.000044
0.001658,100,0.000043
0.001668,100,0.000044
0.001678,100,0.000044
0.001650,100,0.000044
0.001667,100,0.000043
0.001665,100,0.000045
0.001667,100,0.000045
0.001648,100,0.000043
0.001652,100,0.000060
0.001667,100,0.000044
