output/AVL_input_rand_100_10.csv
tempoInsert, qtdBuscas, tempoBusca
0.000142,10,0.000007
0.000142,10,0.000007
0.000142,10,0.000006
0.000031,10,0.000002
0.000045,10,0.000002
0.000071,10,0.000003
0.000140,10,0.000007
0.000142,10,0.000007
0.000142,10,0.000007
0.000141,10,0.000007
0.000143,10,0.000007
0.000142,10,0.000007
0.000143,10,0.000006
0.000140,10,0.000007
0.000144,10,0.000007
0.000139,10,0.000007
0.000142,10,0.000006
0.000141,10,0.000006
0.000155,10,0.000007
0.000142,10,0.000007
0.000139,10,0.000007
0.000140,10,0.000006
0.000140,10,0.000007
0.000141,10,0.000006
0.000143,10,0.000007
0.000141,10,0.000006
0.000162,10,0.000007
0.000143,10,0.000006
0.000142,10,0.000006
0.000140,10,0.000007
