output/AVL_input_rand_200000_1000.csv
tempoInsert, qtdBuscas, tempoBusca
0.127105,1000,0.000257
0.122737,1000,0.000255
0.122625,1000,0.000252
0.123136,1000,0.000256
0.123147,1000,0.000260
0.123029,1000,0.000280
0.123070,1000,0.000254
0.122637,1000,0.000252
0.123065,1000,0.000251
0.122943,1000,0.000260
0.122883,1000,0.000251
0.122768,1000,0.000247
0.123058,1000,0.000256
0.123180,1000,0.000274
0.122932,1000,0.000257
0.122832,1000,0.000249
0.123317,1000,0.000284
0.122839,1000,0.000253
0.122775,1000,0.000254
0.123866,1000,0.000249
0.123081,1000,0.000260
0.122953,1000,0.000250
0.123087,1000,0.000255
0.123300,1000,0.000257
0.123095,1000,0.000253
0.123019,1000,0.000259
0.123076,1000,0.000262
0.122853,1000,0.000288
0.123242,1000,0.000253
0.122651,1000,0.000253
