output/AVL_input_seq_1000_1000.csv
tempoInsert, qtdBuscas, tempoBusca
0.001176,1000,0.000386
0.001189,1000,0.000393
0.001154,1000,0.000382
0.001177,1000,0.000389
0.001162,1000,0.000385
0.001162,1000,0.000385
0.001194,1000,0.000392
0.001165,1000,0.000411
0.001156,1000,0.000382
0.001174,1000,0.000385
0.001159,1000,0.000390
0.001180,1000,0.000385
0.001155,1000,0.000384
0.001161,1000,0.000412
0.001172,1000,0.000383
0.001176,1000,0.000382
0.001185,1000,0.000386
0.001149,1000,0.000386
0.001159,1000,0.000384
0.001159,1000,0.000382
0.001175,1000,0.000385
0.001154,1000,0.000390
0.001204,1000,0.000387
0.001166,1000,0.000387
0.001174,1000,0.000388
0.001213,1000,0.000389
0.001173,1000,0.000386
0.001171,1000,0.000385
0.001162,1000,0.000380
0.001179,1000,0.000390
