output/AVL_input_seq_1000_100.csv
tempoInsert, qtdBuscas, tempoBusca
0.001176,100,0.000046
0.001160,100,0.000045
0.001155,100,0.000046
0.001161,100,0.000046
0.001171,100,0.000046
0.001158,100,0.000046
0.001188,100,0.000046
0.001192,100,0.000046
0.001165,100,0.000045
0.001159,100,0.000045
0.001174,100,0.000045
0.001156,100,0.000044
0.001171,100,0.000045
0.001175,100,0.000046
0.001160,100,0.000047
0.001171,100,0.000045
0.001190,100,0.000044
0.001201,100,0.000046
0.001151,100,0.000046
0.001184,100,0.000046
0.001206,100,0.000046
0.001156,100,0.000045
0.001161,100,0.000045
0.001155,100,0.000046
0.001158,100,0.000047
0.001159,100,0.000045
0.001172,100,0.000046
0.001206,100,0.000046
0.001177,100,0.000045
0.001181,100,0.000046
