output/AVL_input_seq_1000000_100.csv
tempoInsert, qtdBuscas, tempoBusca
0.496118,100,0.000100
0.486794,100,0.000096
0.477847,100,0.000097
0.479461,100,0.000099
0.477169,100,0.000097
0.477521,100,0.000095
0.492695,100,0.000099
0.481312,100,0.000098
0.482666,100,0.000097
0.479293,100,0.000096
0.479641,100,0.000095
0.480259,100,0.000096
0.477319,100,0.000097
0.479651,100,0.000098
0.481476,100,0.000095
0.476673,100,0.000097
0.488709,100,0.000095
0.477832,100,0.000097
0.487530,100,0.000099
0.479416,100,0.000100
0.485510,100,0.000095
0.483159,100,0.000098
0.484288,100,0.000096
0.475160,100,0.000097
0.475504,100,0.000100
0.477342,100,0.000101
0.476312,100,0.000104
0.479326,100,0.000100
0.480454,100,0.000100
0.481443,100,0.000101
