output/AVL_input_rand_700000_1000.csv
tempoInsert, qtdBuscas, tempoBusca
0.516516,1000,0.000411
0.520548,1000,0.000412
0.512599,1000,0.000411
0.514325,1000,0.000406
0.511500,1000,0.000410
0.510337,1000,0.000405
0.513527,1000,0.000414
0.509575,1000,0.000413
0.512424,1000,0.000412
0.511389,1000,0.000409
0.512407,1000,0.000405
0.519336,1000,0.000411
0.510749,1000,0.000405
0.508011,1000,0.000405
0.511423,1000,0.000407
0.542006,1000,0.000412
0.513543,1000,0.000414
0.511091,1000,0.000406
0.514459,1000,0.000411
0.509914,1000,0.000406
0.508263,1000,0.000404
0.515148,1000,0.000410
0.511873,1000,0.000404
0.509386,1000,0.000405
0.517107,1000,0.000410
0.513397,1000,0.000406
0.509865,1000,0.000421
0.510483,1000,0.000408
0.516460,1000,0.000409
0.514809,1000,0.000410
