output/AVL_input_seq_3000000_100.csv
tempoInsert, qtdBuscas, tempoBusca
1.669806,100,0.000131
1.633509,100,0.000127
1.673436,100,0.000128
1.630955,100,0.000130
1.659459,100,0.000128
1.666853,100,0.000129
1.660919,100,0.000126
1.686774,100,0.000129
1.636480,100,0.000125
1.657256,100,0.000126
1.648704,100,0.000128
1.653113,100,0.000126
1.657383,100,0.000126
1.680357,100,0.000131
1.697342,100,0.000129
1.650999,100,0.000128
1.636305,100,0.000126
1.675543,100,0.000128
1.670590,100,0.000128
1.653194,100,0.000129
1.662835,100,0.000128
1.646733,100,0.000130
1.647790,100,0.000126
1.643279,100,0.000127
1.649183,100,0.000129
1.663475,100,0.000128
1.633949,100,0.000129
1.639044,100,0.000129
1.641288,100,0.000128
1.635119,100,0.000128
