output/AVL_input_seq_10000_100.csv
tempoInsert, qtdBuscas, tempoBusca
0.014062,100,0.000077
0.014297,100,0.000092
0.009349,100,0.000052
0.014034,100,0.000078
0.014193,100,0.000087
0.014187,100,0.000090
0.014082,100,0.000080
0.014082,100,0.000079
0.014153,100,0.000078
0.014159,100,0.000078
0.014164,100,0.000077
0.014057,100,0.000076
0.014077,100,0.000077
0.014115,100,0.000078
0.014048,100,0.000078
0.014249,100,0.000078
0.014195,100,0.000077
0.013983,100,0.000077
0.014059,100,0.000078
0.014082,100,0.000078
0.006581,100,0.000017
0.004621,100,0.000029
0.008436,100,0.000048
0.014098,100,0.000078
0.014029,100,0.000078
0.014097,100,0.000078
0.014347,100,0.000078
0.014040,100,0.000077
0.014405,100,0.000079
0.014036,100,0.000078
