output/AVL_input_rand_10000_1000.csv
tempoInsert, qtdBuscas, tempoBusca
0.020495,1000,0.000665
0.020483,1000,0.000612
0.020308,1000,0.000621
0.020292,1000,0.000602
0.020329,1000,0.000598
0.020381,1000,0.000620
0.020373,1000,0.000606
0.020378,1000,0.000613
0.020380,1000,0.000603
0.020381,1000,0.000609
0.020439,1000,0.000612
0.018348,1000,0.000405
0.010208,1000,0.000327
0.016883,1000,0.000620
0.020288,1000,0.000611
0.020358,1000,0.000605
0.020374,1000,0.000614
0.020320,1000,0.000601
0.013499,1000,0.000407
0.017125,1000,0.000540
0.018053,1000,0.000558
0.019329,1000,0.000603
0.007577,1000,0.000133
0.018040,1000,0.000606
0.020203,1000,0.000604
0.020344,1000,0.000608
0.020254,1000,0.000597
0.020325,1000,0.000601
0.020417,1000,0.000617
0.019090,1000,0.000405
