output/AVL_input_seq_2000000_10.csv
tempoInsert, qtdBuscas, tempoBusca
1.055581,10,0.000016
1.095457,10,0.000016
1.072000,10,0.000017
1.079933,10,0.000016
1.053429,10,0.000016
1.079404,10,0.000016
1.052070,10,0.000016
1.052664,10,0.000015
1.044863,10,0.000016
1.068255,10,0.000015
1.054658,10,0.000016
1.076302,10,0.000016
1.066295,10,0.000017
1.055106,10,0.000016
1.050512,10,0.000016
1.050780,10,0.000016
1.051619,10,0.000016
1.068547,10,0.000015
1.051605,10,0.000016
1.045370,10,0.000015
1.053781,10,0.000017
1.061609,10,0.000015
1.060018,10,0.000016
1.068269,10,0.000017
1.053245,10,0.000016
1.074948,10,0.000016
1.039076,10,0.000016
1.038714,10,0.000016
1.053248,10,0.000016
1.023944,10,0.000016
