output/AVL_input_seq_3000000_10.csv
tempoInsert, qtdBuscas, tempoBusca
1.645984,10,0.000016
1.674679,10,0.000016
1.670519,10,0.000016
1.689923,10,0.000015
1.649310,10,0.000016
1.680091,10,0.000015
1.676997,10,0.000016
1.669190,10,0.000016
1.693481,10,0.000015
1.662095,10,0.000015
1.657137,10,0.000016
1.640011,10,0.000014
1.659570,10,0.000016
1.638390,10,0.000016
1.648279,10,0.000017
1.654049,10,0.000015
1.654531,10,0.000015
1.662107,10,0.000016
1.707703,10,0.000015
1.679444,10,0.000016
1.645713,10,0.000015
1.656785,10,0.000016
1.670496,10,0.000015
1.666294,10,0.000015
1.695961,10,0.000015
1.687462,10,0.000017
1.619833,10,0.000016
1.679729,10,0.000016
1.647055,10,0.000015
1.633194,10,0.000016
