output/AVL_input_seq_1000000_10.csv
tempoInsert, qtdBuscas, tempoBusca
0.487134,10,0.000013
0.495231,10,0.000013
0.482638,10,0.000013
0.483446,10,0.000013
0.499859,10,0.000013
0.488077,10,0.000013
0.499375,10,0.000012
0.480212,10,0.000012
0.477938,10,0.000013
0.489031,10,0.000013
0.484394,10,0.000012
0.487717,10,0.000012
0.485528,10,0.000011
0.483782,10,0.000011
0.489419,10,0.000012
0.480439,10,0.000012
0.490303,10,0.000011
0.482826,10,0.000012
0.496651,10,0.000012
0.482605,10,0.000012
0.488855,10,0.000013
0.483195,10,0.000013
0.500201,10,0.000012
0.482720,10,0.000013
0.478318,10,0.000013
0.481908,10,0.000013
0.490147,10,0.000012
0.487282,10,0.000012
0.482859,10,0.000011
0.477553,10,0.000012
