output/AVL_input_seq_100000_10.csv
tempoInsert, qtdBuscas, tempoBusca
0.073344,10,0.000004
0.040331,10,0.000004
0.039433,10,0.000006
0.039344,10,0.000004
0.039554,10,0.000004
0.046937,10,0.000004
0.039843,10,0.000004
0.042579,10,0.000005
0.040110,10,0.000004
0.039757,10,0.000005
0.039808,10,0.000004
0.070196,10,0.000004
0.039580,10,0.000005
0.039285,10,0.000004
0.040106,10,0.000003
0.039614,10,0.000004
0.069916,10,0.000004
0.039445,10,0.000005
0.039697,10,0.000004
0.039417,10,0.000005
0.039606,10,0.000005
0.039779,10,0.000005
0.039749,10,0.000004
0.040122,10,0.000004
0.039537,10,0.000004
0.039562,10,0.000004
0.053810,10,0.000005
0.039886,10,0.000004
0.039768,10,0.000004
0.039365,10,0.000004
