output/AVL_input_seq_700000_1000.csv
tempoInsert, qtdBuscas, tempoBusca
0.327763,1000,0.000674
0.324160,1000,0.000692
0.326226,1000,0.000690
0.344636,1000,0.000668
0.346603,1000,0.000687
0.327530,1000,0.000694
0.325057,1000,0.000689
0.337111,1000,0.000681
0.338936,1000,0.000678
0.328711,1000,0.000703
0.326469,1000,0.000681
0.348677,1000,0.000676
0.333578,1000,0.000675
0.327045,1000,0.000681
0.326337,1000,0.000675
0.330554,1000,0.000681
0.327275,1000,0.000717
0.325640,1000,0.000674
0.327551,1000,0.000695
0.328193,1000,0.000700
0.355192,1000,0.000680
0.329431,1000,0.000702
0.328941,1000,0.000677
0.327124,1000,0.000684
0.325377,1000,0.000681
0.331028,1000,0.000694
0.328793,1000,0.000723
0.330379,1000,0.000684
0.329118,1000,0.000686
0.332226,1000,0.000681
