output/AVL_input_seq_500000_1000.csv
tempoInsert, qtdBuscas, tempoBusca
0.230383,1000,0.000596
0.227895,1000,0.000603
0.228353,1000,0.000613
0.228027,1000,0.000609
0.225585,1000,0.000590
0.226266,1000,0.000615
0.226021,1000,0.000590
0.228297,1000,0.000627
0.228067,1000,0.000589
0.226853,1000,0.000625
0.231007,1000,0.000582
0.228316,1000,0.000624
0.226720,1000,0.000612
0.224730,1000,0.000636
0.230034,1000,0.000584
0.225718,1000,0.000633
0.231199,1000,0.000598
0.228104,1000,0.000636
0.226958,1000,0.000584
0.227342,1000,0.000660
0.226489,1000,0.000601
0.225110,1000,0.000646
0.232221,1000,0.000589
0.227814,1000,0.000644
0.232326,1000,0.000612
0.229442,1000,0.000656
0.229226,1000,0.000591
0.229249,1000,0.000643
0.225424,1000,0.000614
0.228963,1000,0.000612
