AVL, médiaTempIns, qtdBusca, médiaTempBusca
1000000 (rand),0.131474,10.000000,0.014239
2000000 (rand),0.261353,10.000000,0.033497
3000000 (rand),0.406917,10.000000,0.035862
100 (seq),0.000030,10.000000,0.000008
1000 (seq),0.000428,10.000000,0.000078
10000 (seq),0.004227,10.000000,0.000609
100000 (seq),0.018357,10.000000,0.001656
200000 (seq),0.024838,10.000000,0.002194
300000 (seq),0.033932,10.000000,0.003657
400000 (seq),0.044874,10.000000,0.005285
500000 (seq),0.057355,10.000000,0.006914
700000 (seq),0.074347,10.000000,0.009949
900000 (seq),0.093881,10.000000,0.013523
1000000 (seq),0.106379,10.000000,0.016112
2000000 (seq),0.210792,10.000000,0.033625
3000000 (seq),0.316823,10.000000,0.046226
100 (rand),0.000015,100.000000,0.000018
1000 (rand),0.000590,100.000000,0.000594
10000 (rand),0.002727,100.000000,0.003022
100000 (rand),0.012327,100.000000,0.013663
200000 (rand),0.024245,100.000000,0.025739
300000 (rand),0.036731,100.000000,0.044025
400000 (rand),0.048654,100.000000,0.051519
500000 (rand),0.062656,100.000000,0.069465
700000 (rand),0.085993,100.000000,0.090990
900000 (rand),0.109146,100.000000,0.108681
1000000 (rand),0.132177,100.000000,0.145066
2000000 (rand),0.261877,100.000000,0.282532
3000000 (rand),0.391716,100.000000,0.388056
100 (seq),0.000011,100.000000,0.000019
1000 (seq),0.000219,100.000000,0.000312
10000 (seq),0.003585,100.000000,0.005015
100000 (seq),0.010868,100.000000,0.013812
200000 (seq),0.020796,100.000000,0.027222
300000 (seq),0.030450,100.000000,0.045979
400000 (seq),0.041052,100.000000,0.061300
500000 (seq),0.052208,100.000000,0.078123
700000 (seq),0.071743,100.000000,0.109950
900000 (seq),0.092825,100.000000,0.140000
1000000 (seq),0.103266,100.000000,0.150976
2000000 (seq),0.209457,100.000000,0.317421
3000000 (seq),0.317145,100.000000,0.417062
100 (rand),0.000063,1000.000000,0.000738
1000 (rand),0.000545,1000.000000,0.006069
10000 (rand),0.001581,1000.000000,0.015660
100000 (rand),0.012602,1000.000000,0.129790
200000 (rand),0.026685,1000.000000,0.248483
300000 (rand),0.036783,1000.000000,0.384944
400000 (rand),0.048651,1000.000000,0.509619
500000 (rand),0.060825,1000.000000,0.632993
700000 (rand),0.084640,1000.000000,0.840619
900000 (rand),0.108758,1000.000000,1.023707
1000000 (rand),0.130989,1000.000000,1.448652
2000000 (rand),0.268711,1000.000000,2.820468
3000000 (rand),0.392568,1000.000000,4.047705
100 (seq),0.000027,1000.000000,0.000477
1000 (seq),0.000292,1000.000000,0.004354
10000 (seq),0.001272,1000.000000,0.015633
100000 (seq),0.009894,1000.000000,0.134319
200000 (seq),0.021101,1000.000000,0.264532
300000 (seq),0.030550,1000.000000,0.423997
400000 (seq),0.040846,1000.000000,0.571687
500000 (seq),0.051073,1000.000000,0.739836
700000 (seq),0.072628,1000.000000,1.021243
900000 (seq),0.092445,1000.000000,1.343559
1000000 (seq),0.102799,1000.000000,1.485623
2000000 (seq),0.209550,1000.000000,2.974391
3000000 (seq),0.608479,1000.000000,7.051217
